"assignedURI","label","spec"
"http://purl.org/dc/terms/Agent","Agent","https://data.test-vlaanderen.be/doc/applicatieprofiel/zaalreservatie/ontwerpstandaard/2025-04-18"
"http://data.europa.eu/m8g/PublicOrganisation","Publieke Organisatie","https://data.test-vlaanderen.be/doc/applicatieprofiel/zaalreservatie/ontwerpstandaard/2025-04-18"
"http://xmlns.com/foaf/0.1/Document","Document","https://data.test-vlaanderen.be/doc/applicatieprofiel/zaalreservatie/ontwerpstandaard/2025-04-18"
"http://purl.org/vocab/cpsv#PublicService","Publieke Dienstverlening","https://data.test-vlaanderen.be/doc/applicatieprofiel/zaalreservatie/ontwerpstandaard/2025-04-18"
"http://www.cidoc-crm.org/cidoc-crm/E7_Activity","Activiteit","https://data.test-vlaanderen.be/doc/applicatieprofiel/zaalreservatie/ontwerpstandaard/2025-04-18"
"http://www.w3.org/ns/org#Organization","Organisatie","https://data.test-vlaanderen.be/doc/applicatieprofiel/zaalreservatie/ontwerpstandaard/2025-04-18"
"http://qudt.org/schema/qudt/Unit","Eenheid","https://data.test-vlaanderen.be/doc/applicatieprofiel/zaalreservatie/ontwerpstandaard/2025-04-18"
"http://www.w3.org/2004/02/skos/core#Concept","Concept","https://data.test-vlaanderen.be/doc/applicatieprofiel/zaalreservatie/ontwerpstandaard/2025-04-18"
"http://data.europa.eu/m8g/#Criterion","Criterion","https://data.test-vlaanderen.be/doc/applicatieprofiel/zaalreservatie/ontwerpstandaard/2025-04-18"
"http://purl.org/dc/terms/Location","Plaats","https://data.test-vlaanderen.be/doc/applicatieprofiel/zaalreservatie/ontwerpstandaard/2025-04-18"
"http://www.w3.org/ns/person#Person","Persoon","https://data.test-vlaanderen.be/doc/applicatieprofiel/zaalreservatie/ontwerpstandaard/2025-04-18"
"http://www.w3.org/ns/locn#Geometry","Geometrie","https://data.test-vlaanderen.be/doc/applicatieprofiel/zaalreservatie/ontwerpstandaard/2025-04-18"
"http://www.cidoc-crm.org/cidoc-crm/E54_Dimension","Dimensie","https://data.test-vlaanderen.be/doc/applicatieprofiel/zaalreservatie/ontwerpstandaard/2025-04-18"
"http://www.w3.org/ns/prov#Location","Locatie","https://data.test-vlaanderen.be/doc/applicatieprofiel/zaalreservatie/ontwerpstandaard/2025-04-18"
"http://www.w3.org/ns/locn#Address","Adresvoorstelling","https://data.test-vlaanderen.be/doc/applicatieprofiel/zaalreservatie/ontwerpstandaard/2025-04-18"
"http://www.w3.org/2006/time#Instant","Moment","https://data.test-vlaanderen.be/doc/applicatieprofiel/zaalreservatie/ontwerpstandaard/2025-04-18"
